transaction_items
"double ka meetha,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice"
"biryani,rice"
"biryani,rice,sheer korma"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,sheer korma"
"rice,sheer korma"
"double ka meetha,rice,shahi tukra"
"double ka meetha,rice"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"qubani ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice"
"double ka meetha,qubani ka meetha,rice"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,qubani ka meetha,rice"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,shahi tukra"
"rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"double ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"biryani,rice,sheer korma"
"rice,sheer korma"
"double ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"biryani,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"rice,shahi tukra,sheer korma"
"double ka meetha,qubani ka meetha,rice"
"biryani,double ka meetha,rice"
"rice,shahi tukra"
"biryani,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"biryani,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"biryani,double ka meetha,rice"
"qubani ka meetha,rice,sheer korma"
"qubani ka meetha,rice,sheer korma"
"biryani,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,rice"
"biryani,qubani ka meetha,rice"
"biryani,double ka meetha,rice"
"rice,shahi tukra,sheer korma"
"biryani,rice,sheer korma"
"biryani,rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"rice,shahi tukra,sheer korma"
"rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,rice,sheer korma"
"rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,rice,shahi tukra"
"double ka meetha,rice"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"double ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"biryani,double ka meetha,rice"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"biryani,qubani ka meetha,rice"
"biryani,double ka meetha,rice"
"biryani,rice,sheer korma"
"double ka meetha,qubani ka meetha,rice"
"rice,sheer korma"
"biryani,rice,sheer korma"
"biryani,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,qubani ka meetha,rice"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice,shahi tukra"
"double ka meetha,rice,sheer korma"
"rice,shahi tukra,sheer korma"
"biryani,double ka meetha,rice"
"biryani,rice"
"double ka meetha,rice,shahi tukra"
"double ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"rice,shahi tukra,sheer korma"
"rice,shahi tukra"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,qubani ka meetha,rice"
"qubani ka meetha,rice,sheer korma"
"biryani,double ka meetha,rice"
"double ka meetha,rice"
"biryani,rice,shahi tukra"
"biryani,double ka meetha,rice"
"double ka meetha,rice,shahi tukra"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice"
"double ka meetha,rice,shahi tukra"
"biryani,rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"biryani,double ka meetha,rice"
"qubani ka meetha,rice,sheer korma"
"biryani,rice"
"biryani,double ka meetha,rice"
"biryani,double ka meetha,rice"
"qubani ka meetha,rice,shahi tukra"
"biryani,double ka meetha,rice"
"biryani,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"rice,sheer korma"
"double ka meetha,rice,sheer korma"
"biryani,double ka meetha,rice"
"biryani,rice"
"qubani ka meetha,rice,shahi tukra"
"qubani ka meetha,rice,sheer korma"
"qubani ka meetha,rice,sheer korma"
"qubani ka meetha,rice,sheer korma"
"double ka meetha,rice"
"biryani,qubani ka meetha,rice"
"biryani,qubani ka meetha,rice"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice"
"double ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"double ka meetha,qubani ka meetha,rice"
"biryani,rice,shahi tukra"
"double ka meetha,rice,shahi tukra"
"biryani,qubani ka meetha,rice"
"rice,shahi tukra,sheer korma"
"rice,shahi tukra,sheer korma"
"biryani,rice"
"qubani ka meetha,rice,sheer korma"
"biryani,rice,shahi tukra"
"rice,sheer korma"
"double ka meetha,rice"
"biryani,qubani ka meetha,rice"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,rice"
"double ka meetha,qubani ka meetha,rice"
"biryani,qubani ka meetha,rice"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice,sheer korma"
"rice,sheer korma"
"biryani,double ka meetha,rice"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,qubani ka meetha,rice"
"double ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"rice,sheer korma"
"rice,shahi tukra,sheer korma"
"qubani ka meetha,rice,sheer korma"
"biryani,rice,shahi tukra"
"double ka meetha,rice"
"double ka meetha,rice,sheer korma"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"double ka meetha,rice,sheer korma"
"qubani ka meetha,rice,shahi tukra"
"biryani,rice,shahi tukra"
